,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
67,67,3,0,1,2,2,lemmie eat oreo dishes one oreo lol
68,68,3,0,3,0,1,bitch fuck u maybe get better just
69,69,3,1,2,0,1,fuck red malone man bitch ass niggah could please use complete sentences
70,70,3,0,0,3,2,why eggplant emoji doe say looked like scream lmao
71,71,3,0,3,0,1,hennessey venom gt one sexy bitch
72,72,3,0,3,0,1,him seh pussy wetter shower curtain lt lmao
73,73,3,0,3,0,1,every need see pic i posted bitch said racist shit
74,74,3,1,2,0,1,yo fuck skateboarding wood pushing faggots man ball life
75,75,3,0,1,2,2,baby monkey bathtime awwwwe this soooo adorable
76,76,3,0,3,0,1,i shit damn skippy lol
77,77,3,1,2,0,1,u ever kill ant sidewalk think damn nigga way get pussy no bs must b gt chance
78,78,3,0,3,0,1,rings mvps bitches lol
79,79,3,1,2,0,1,ppl talk bad ghetto hood kid growing nigga funnnnnnn
80,80,9,0,7,2,1,the facts tattoos tattoo pussy tattooing nipples
81,81,3,0,3,0,1,bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
82,82,3,0,3,0,1,get worshiping bitch woof woof
83,83,3,1,2,0,1,wow i lost are buttcheek piercings yeah hoe
84,84,3,0,3,0,1,ok sis she rather broke bitch shrugs tell works
85,85,3,2,1,0,0,queer gaywad
86,87,3,0,3,0,1,faggot read tweets dat k even funny lol
87,88,3,0,3,0,1,this bitch ungrateful fr lulwhore
88,89,3,0,3,0,1,i kidnapped yo bitch
89,90,3,3,0,0,0,alsarabsss hes beaner smh tell hes mexican
90,91,3,1,2,0,1,happy birthday nigs thanks yo
91,92,6,1,5,0,1,ur teacher tells u u homework bitch need go
92,93,3,1,2,0,1,nigga eating hoe lol hell yea lol john paul nigga said john paul
93,94,3,0,3,0,1,what would lil ugly bald headed bitches stop making make weave
94,95,3,1,2,0,1,leafs better win damn game i go riot shit better start looting nig
95,96,3,0,3,0,1,going back school sucks dick hoes attend
96,97,3,0,3,0,1,on way fuck yo bitch year old
97,98,3,0,3,0,1,come never bring food dont car retard
98,99,3,0,3,0,1,if richnow show hella tinder hoes im friend anymore chill i brought like like prople
99,100,3,1,2,0,1,how bout cowboys shutup pussy
100,101,3,0,3,0,1,lmaooooooooooo nigga lt bitch want likes depressing shit foh
101,102,3,0,3,0,1,girl know i spitting g shit going lbvs bitch plz
102,103,3,0,3,0,1,let make couple tweets cuzzo page i get twitter jail lmao bitch trick
103,104,3,0,2,1,1,harlem shake excuse go full retard seconds
104,105,3,0,3,0,1,amen miley okay need act like hoe bc emotionally damaged foh
105,106,3,0,3,0,1,one loyal female wayyyyy better hoes idc
106,107,3,0,3,0,1,pussy licking pussy meow meow
107,108,3,0,3,0,1,check man even faggot ny fans stands
108,109,3,0,3,0,1,what happen vixen ent bitches got ran threw side like foothill bitch
109,110,3,0,3,0,1,im bitch okay nudes pat wow
110,111,3,3,0,0,0,fucking gay blacklisted hoe holding anyway
111,112,3,0,3,0,1,the fuck wrong bitches nobody knows
112,113,3,0,3,0,1,yall shut p make bitch
113,114,3,1,2,0,1,i hate i pregnant type bitch
114,115,3,0,3,0,1,got bitches dm i ever read em top
115,116,3,0,0,3,2,baseball season win this love started
116,117,3,0,3,0,1,little stupid bitch i fuck yoooooouuuu
117,118,3,0,3,0,1,really asked dead ass serious tho could say bitch wheet lol
118,119,3,0,0,3,2,i early bird i night owl i wise worms
119,120,3,0,1,2,2,overdosing heavy drugs sound bad tonight i pussy shit every day
120,121,3,0,0,3,2,pit bulls photographed as lovely fairy tale creatures they fairy tale creatures
121,122,3,0,3,0,1,aw fag tweet aw lol
122,123,3,0,0,3,2,as long lakers trash i could careless and real cc hahaha
123,124,3,0,3,0,1,i say anything tho kiss faggot
124,125,3,0,0,3,2,i play soccer cheat girls wear khaki coloured cargos haircut yup
125,126,3,0,3,0,1,i could go fat ass bitch lap
126,127,3,0,3,0,1,missed calls das yo p o bitch twitter finna screamn
127,128,6,0,6,0,1,ya side bitch gotta know rules shit anybody ask cousin jersey thinkin bout moving lmmfao
128,129,3,0,3,0,1,amo los pies fuck yeah
129,130,3,0,3,0,1,these hoes thinking meat slap ass ainna bruh
130,131,3,0,3,0,1,yall bitches wit edges talking
131,132,3,0,3,0,1,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitches bags n shit
132,133,3,0,3,0,1,i wanna sex mom fuck right pussy i came damn got hacked like fuck
133,134,6,0,6,0,1,if kiss u eyes open watch bitch lmfao
134,135,3,0,3,0,1,you woulda coulda shoulda ass hoe
135,136,3,0,3,0,1,happy bday bitch ass nigga preciate bitch roll
136,137,3,0,3,0,1,used send bitch
137,138,6,0,6,0,1,ugly bitches like i wcw duh bitch nobody elses
138,139,3,1,2,0,1,nigga know hacky sack hoes nah i throw look passes lmao
139,141,3,1,2,0,1,glad i getting outta atlanta nothing bunch niggas outta jail dumb bitches mad kids fuckin em
140,142,3,0,1,2,2,this ghetto smart i idc
141,143,3,0,2,1,1,i would wife hoe cuz care cheating force relationship first place
142,144,3,0,3,0,1,being single excuse hoe
143,145,3,1,2,0,1,white boy power bitch black power bitch
144,146,3,0,3,0,1,lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes chill
145,147,3,0,3,0,1,bitch u around world back where
146,148,3,0,3,0,1,i get dick sucked yo party bad bitch i fr gone set
147,149,3,0,2,1,1,soooo cute but probably hoes lot
148,150,3,0,3,0,1,in every cartoon alway saving hoes lmao lmao damn captain saveahoe
149,151,3,0,1,2,2,who wants get nose bad bois hot sox legs
150,152,3,0,3,0,1,i wish i bitch like brother keezy ooooow i bet
151,153,6,0,6,0,1,if dressed cat halloween basic pussy
152,154,4,0,4,0,1,can pornhub get gaming stream feature dumb bitches gtfo get katie lt
153,155,3,0,3,0,1,stop scared choke sex u bitch ass niggas she like says guy hits women bed foh
154,156,3,0,3,0,1,ha well iguess i make hoes loyal bro theyll never loyal hoes nig
155,157,6,0,6,0,1,oh man molly ho fuck ya seed
156,158,3,0,3,0,1,you man refer every girl bitch
157,159,3,0,3,0,1,lmfao cat started beating shit nigga finally got pussy my nigga
158,160,3,0,1,2,2,peel peel bring back rewind back i move shaq line ooooow tf said trash
159,161,3,0,2,1,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,162,3,0,3,0,1,naw old tape new cover upcoming mixtape yeah i waiting hoe mayne
161,163,3,0,3,0,1,ol dirty foot ass bitches funny
162,164,3,0,3,0,1,i get yellow flags amazing hell yeah niggy
163,165,3,0,3,0,1,don got time bitches actin iffy
164,166,3,0,0,3,2,come stay alive knights nation this still early bird special
165,167,3,0,2,1,1,these hoes loyal smfh wonder nobody decent wants
166,168,3,0,3,0,1,bruh studs keep thinking i soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
167,169,3,0,3,0,1,dry pussy bitches always blame condom
168,170,3,0,3,0,1,shut yo bitch ass
169,171,3,0,3,0,1,gucci mane jail dropping mixtapes every month hoes even text back
170,172,3,0,3,0,1,you love hoes money wats wrong niggas
171,173,6,0,6,0,1,a loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
172,174,3,0,3,0,1,easy cum easy hoe that fact
173,175,3,0,3,0,1,charlie sheen real major fucking respect charlie sheen
174,176,3,0,3,0,1,wish i bae you got hoes tho
175,177,3,0,3,0,1,fuck twerking bitch cook
176,178,3,0,3,0,1,bitch wtf
177,179,3,1,2,0,1,shut zoe fight pussy zoe i good man you good move along
178,180,3,0,3,0,1,lmao fucking snake bitches em
179,181,3,0,3,0,1,big booty hoes everywhere sheesh damn
180,182,3,0,0,3,2,stay tuned update report weeks
181,183,3,0,0,3,2,i play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
182,184,3,0,3,0,1,oregon chokes every year get field trash ass program rft
183,185,3,0,3,0,1,def cowboy lol terrell owens best eagle cowboy ever dude cried like bitch tv romo
184,186,3,3,0,0,0,lmfaoooo i hate black people this black people niggers
185,187,3,0,3,0,1,how could u bitch potent
186,188,3,0,1,2,2,pissed lad past i would lick dirty soles slept
187,189,3,0,1,2,2,love frat boy w soft long soles
188,190,3,0,1,2,2,sexy lad hot soles arches
189,191,3,0,3,0,1,nah fam i gotta cheat hoes depends female feel
190,192,3,0,0,3,2,i got hicks lol
191,193,3,1,2,0,1,this new twitter confusing shit go back south america bitch
192,194,3,0,3,0,1,toto means ass vagina i think pussy cause toto santi like nasty pussy
193,195,3,0,3,0,1,actually choose ugly bitch her ass must fat
194,196,3,0,3,0,1,bitch kill vibe ya tried dis love miley
195,197,3,0,3,0,1,i tired bitches saying i look mean nigga big af wear tight shirts grim everybody
196,198,6,0,0,6,2,birds grandkids may never see thanks climate change
197,199,3,0,3,0,1,stay beautiful bitch
198,200,3,0,3,0,1,r purple ceeeleee man gurl jus playin stupid hoe track but still shitted sum gurls
199,201,3,0,3,0,1,money getting taller bitches getting blurry
200,202,3,1,2,0,1,i never seen bitch obsessed nigga i obsessed mine
201,203,3,0,2,1,1,kobe stay talking trash but let forget i meant one smh
202,204,3,2,1,0,0,at least i nigger lmfao
203,205,3,0,3,0,1,people always asking i mixed she bad asian bitch lol
204,206,3,2,1,0,0,ariza snake coward least cripple like hero roach lmaoo
205,207,3,0,1,2,2,fosters home imaginary trash whoa chill show everything tf
206,208,6,0,5,1,1,i lowkey tired tired quiet go sleep hoe
207,209,3,0,3,0,1,stop bringing weird niggers mentions
208,210,3,0,3,0,1,we love hoes
209,211,3,0,3,0,1,if yo girl cant homeboys ol weak bitch ass nigga
210,212,3,0,3,0,1,i think worst advice i gave pussy speed lol
211,213,3,0,3,0,1,quote tweet favorite animal pussy
212,214,3,0,3,0,1,i hate strippers tell dancers hoe ballet dancers pop pussy beethoven you stripper
213,215,3,0,3,0,1,andrewbryant poff double vision beers poff double pussy smh
214,216,3,0,3,0,1,when bitches twerk computer me in ya ya damn
215,217,3,0,3,0,1,prince this art nobody takin bitch
216,218,3,0,1,2,2,welfare government aid claimed white people so black slander trash
217,219,3,0,3,0,1,these bitches care play role
218,220,6,0,6,0,1,it took find i hiding in lime tree dis bitch da wrong tree bro
219,221,6,3,2,1,0,drakes new shoes released nike jordan yes glitter shoes dudes fag
220,222,3,0,1,2,2,inna di ghetto you alone lmaoo
221,223,3,0,1,2,2,hoes austin teach us austin i teach u get curved that i know
222,224,3,1,2,0,1,bitches cook know suck dick ones
223,225,3,0,3,0,1,fat hoes get chose lol
224,226,3,0,3,0,1,well hoes one expects loyal
225,227,3,0,3,0,1,ol bitch ass
226,228,3,1,2,0,1,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
227,229,3,0,3,0,1,just tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck
228,230,3,0,3,0,1,holy shit freddie highmore charlie chocolate factory me rolls floor laughing
229,231,3,1,2,0,1,i want sex gf i feel like i using anonymous whata faggot
230,232,3,0,3,0,1,one followers somebody bitch
231,233,3,0,3,0,1,if ya bitch always bitching clearly care or annoying bitch
232,234,3,0,3,0,1,these catfish hoes thinkin slick but niggas catching
233,235,3,0,3,0,1,can worry bitch worried bout
234,236,3,0,3,0,1,side hoes insecure niggas handle real one
235,237,3,0,3,0,1,lmao this bitch come scooting tent like fuck shit
236,238,3,0,3,0,1,my cousin said share hoes brothers he said sharing caring love brothers
237,239,3,0,3,0,1,hungry ionn wanna spend money food broke hoe problems
238,240,6,0,6,0,1,dese hoes lyin us nigga
239,241,3,0,3,0,1,oh yeah fuck bitch
240,242,3,0,1,2,2,eli manning threw nfl leading interception season lmao trash
241,243,3,0,1,2,2,usc senior rb anthony brown calls head coach steve sarkisian racist quits team bitch
242,244,3,0,3,0,1,guess i also zero time mansplaining adios stfu pussy
243,245,3,0,1,2,2,chilling sexy scally lad
244,246,3,0,3,0,1,i sharing bitch mines mines
245,247,3,0,3,0,1,money impress simple broke bitches
246,248,3,0,2,1,1,never anybody bitch let people control change rigghhht
247,250,3,0,1,2,2,tuku ho idk blah blah blah
248,251,3,0,1,2,2,i mad cuh hahaha suure tuku ho ita
249,252,3,0,3,0,1,these hoes crazy
250,253,3,0,3,0,1,you ever gonna slice bitch kevin hart
251,254,3,0,3,0,1,oomf fuckin fine tho dam bitch
252,255,3,1,2,0,1,i wonder girl gave head boys drink magaluf twitter probly sends nudes fags
253,256,3,0,3,0,1,yeah bitch yeah bitch call maybe b steve o c later jesse pinkman
254,257,3,0,3,0,1,hickies thighs right pussy gt gt gt its right
255,258,3,0,3,0,1,would still love i longer young beautiful no ugly monkey ass
256,259,3,1,2,0,1,come front bitch i coming
257,260,3,1,2,0,1,faggot bitch
258,261,3,0,3,0,1,yea i ipad i work friday let ball faggot work
259,262,3,0,1,2,2,scally lad would get
260,263,3,2,1,0,0,halloween yesterday stupid nigger
261,264,3,0,2,1,1,chrus still supahot tho walks teacher test drops test bitch fohead
262,265,3,0,3,0,1,i love eating pussy lol i never get full lol i eat shit forever lol ever
263,266,3,0,3,0,1,no slushes hoes nasty anyway fam hoes taste like meds
264,267,3,0,2,1,1,no slushes hoes nasty anyway fam
265,268,3,1,2,0,1,bobby bitch getting live fuck hell yea play hoe workout
266,269,3,0,3,0,1,yo bitch gucci mane my bitch stoner
267,270,3,0,3,0,1,i ride bitch handle bars
268,271,3,0,3,0,1,and hoe get traphoussseeeee
269,272,3,0,0,3,2,sad tv character deaths still bitter ned stark man
270,273,3,0,3,0,1,these harbor bitches party bus hoes lol
271,274,3,0,3,0,1,pussy love
272,275,3,0,3,0,1,ultraviolence video coming little bitch lana del rey bitchy promo
273,276,3,0,3,0,1,on way fuck bitch lmfao kittycopter
274,277,3,0,0,3,2,a smuggler explains helped fighters along jihadi highway
275,278,3,0,3,0,1,aww avis look cute together i gotta get ike avi bitch
276,279,3,0,3,0,1,its simple dont hoe dont worry exposed fight
277,280,3,0,3,0,1,whys bitch boosting her size exactly healthy tho
278,281,3,0,3,0,1,bet bitches kim bye
279,283,3,0,3,0,1,damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco
280,284,3,0,3,0,1,i making marack girlfriend aye b pullin hoes like taught
281,285,3,1,2,0,1,bruno fag boy love
282,286,3,0,3,0,1,i must bitch sike naw this always beefing
283,287,3,0,0,3,2,down look rally bottom
284,288,3,0,3,0,1,don take advantage nice person hoes everyjuan
285,289,3,1,2,0,1,happy birthday bitch nigga thanks pal
286,290,3,0,3,0,1,sad knowing hoes fuck bc got stacks wait till friday
287,291,3,0,3,0,1,cinco shit harder fucc nigga yee fucc wit rich homie cuz dats ya homeboy fucc nicca
288,292,3,0,3,0,1,ewww i said that last sunday last sunday i read nigs
289,293,4,1,3,0,1,i punch real niggas face cause pussy nigga gonna punch right back strong mush shake
290,294,3,0,3,0,1,my pussy still fresh lt something stank girls say
291,295,4,0,4,0,1,ass slapping one greatest things haha i slapped girl ass she got mad i aint get pussy week
292,296,3,0,3,0,1,yeah texans much better fucking retard i see mad
293,297,3,1,2,0,1,nd wtf dark bitches blonde please have several seats hoe looking like black milds
294,298,4,0,4,0,1,there lane bitches need stay left n get right fuck outta face
295,299,3,0,3,0,1,i hate boys deny bitches smh
296,300,3,1,2,0,1,ya nigs still saying eat butt with a straight face
297,301,3,0,3,0,1,im boss ass bitch needs sit corner
298,302,3,0,3,0,1,he hoe i
299,304,3,0,3,0,1,me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay da streets
300,305,6,0,6,0,1,bitches hold nigga get locked nigga go college military different story
301,306,3,1,2,0,1,friends hate ratchet hoe
302,307,3,1,2,0,1,no love fuck niggas hoes
303,308,3,0,3,0,1,hot meat sexy fuck scally lad i would love meet trainers
304,309,3,0,3,0,1,sniff perved scally lad fuck yeah
305,310,3,0,3,0,1,these bitches love sosa
306,311,4,0,3,1,1,i legit watched seconds so did i wtf prob cause retarded smh
307,312,3,0,3,0,1,what i name cat ideas mr pussy
308,313,3,0,2,1,1,woof woof sexy thug boy scally
309,314,3,0,3,0,1,u see damn phone ringing married bitches makes demands you called
310,315,3,0,3,0,1,tevin favorite sophomore i think funny hes really lmaoo hes little hoe
311,316,3,0,3,0,1,sex positions naw u call fucking soul outta bitch
312,317,3,2,1,0,0,bored supposed cute faggot sometimes
313,318,3,0,0,3,2,one mans trash another mans treasure
314,319,3,0,3,0,1,i got type bad bitches thing i like iongotnotype
315,320,3,2,1,0,0,lassen cc coach wants feel youll get nig doubt
316,321,3,0,3,0,1,god teeth gold chain white bitches cocaine
317,322,3,1,2,0,1,its hoe hoe shhhhh
318,323,3,0,3,0,1,in d c call rollers chiraq call thots all across america known hoe
319,324,3,0,3,0,1,i gonna miss bitch bus driver don lie
320,325,3,0,3,0,1,hate bitches try put friendzone bitch i tryin score put endzone on my soul
321,326,3,0,1,2,2,ashley young tried deny bird landed mouth gt hahaha
322,327,3,0,3,0,1,yall gimped ain tht bitch huh lol
323,328,3,0,1,2,2,take ride woof woof
324,329,3,1,2,0,1,oh god i love victoria mitchell bitches love
325,330,3,0,3,0,1,that long distance shit wack i knew bitch cheating uh oh
326,331,3,0,3,0,1,he s doing it right bitches smh
327,332,3,0,3,0,1,ban dat pussy life gotta pay millon dollar fine
328,333,3,1,2,0,1,roses red violets blue niggers black know true
329,334,3,0,0,3,2,sitting window sill window open bird tries fly smacked
330,335,3,0,3,0,1,but nigga gon nigga nigga you sound fuckin retarded
331,336,3,0,0,3,2,video entire media likely mock crybaby
332,337,3,0,3,0,1,i even shy stfu kikis mom hi angelique angelique smiles dips cracker soup
333,338,3,0,3,0,1,tim tebow got cut every team nfl already got hoes starkville smh
334,339,3,0,3,0,1,karma bitch sips tea
335,340,3,0,3,0,1,fuckin hot gym pussy fuck yeah
336,341,3,0,0,3,2,jihadi patron hajjaj al ajmi arrested kuwait airport
337,342,3,0,2,1,1,you call fireman cause i turn hoes
338,343,3,0,3,0,1,i could never bby lil dick thts i got abortion last bitch oh my god
339,344,3,0,3,0,1,watch women try argue like dick actually fucked pussy i hate bitches
340,345,3,0,3,0,1,and smoke weed public fuck cops man wanna run come retarded
341,346,3,0,0,3,2,tweety bird tho
342,347,3,0,3,0,1,pussy sweet like watermelon thotermelon
343,348,3,0,1,2,2,when twitter rappers dm trash links
344,349,3,0,3,0,1,loud bitches annoy
345,350,4,0,4,0,1,eventually every bitch turns hoe truuu
346,351,3,0,3,0,1,i swear oomf try talking tomorrow pussy
347,352,3,0,3,0,1,you bitches pretending tf crazy you never lied
348,353,4,0,3,1,1,k bye hoe um bye
349,354,3,2,1,0,0,jackies retard at least i make grilled cheese
350,355,3,1,2,0,1,ima keep giving pussy ass niggas ah reason hate
351,356,3,0,0,3,2,photo sole heaven
352,357,3,2,1,0,0,stacey dash baddest bitch evaaaa
353,358,3,0,3,0,1,side bitch sunday
354,359,3,0,3,0,1,facts baldheaded bitch made shit lmao
355,360,3,0,3,0,1,fuck wit us tweakin hoe shmurda
356,361,3,0,0,3,2,we actin like day spook
357,362,3,0,3,0,1,i break lil bitch neck even feel sorry savage
358,363,3,0,3,0,1,this fucking hot love kinky scallies
359,364,3,1,2,0,1,y dumb ass niggas pressed hoes y weak fuck fuck weed hoes oreos
360,365,3,0,3,0,1,i turn yo bitch eaterrrrrrrrr
361,366,3,0,3,0,1,i trust dese hoes nikki told i stay fans screen shot asap finna come chiraq shoot sumn
362,367,3,0,3,0,1,aye yall ima tryout bowling team frfr tryouts passed tho theres two retard
363,368,3,0,3,0,1,now u got u want bitch enjoy crazy party i would love attend
364,369,3,0,0,3,2,colored contacts eyes blinders mine cause see lmao
365,370,3,0,3,0,1,facts only dudes hoes say got hoes
366,371,3,0,3,0,1,i rea start smacking bitches period bluffin best
367,372,3,0,3,0,1,lifes bitch die thats get high cause neva know gonna go sister perfect
368,373,3,0,3,0,1,one us drugs still wrong hahahahahahah im bitch sometimes
369,374,3,1,2,0,1,i feeling pretty fuckin ghetto smh
370,375,3,0,0,3,2,swears i man easily easily behind austin nip
371,376,3,0,3,0,1,this true ride die bitch fuck hahahahah
372,377,4,0,0,4,2,h g wells charlie chaplin
373,378,3,0,3,0,1,all i see bruno bitch ass twitter wtf bruno sees drake voice
374,379,3,0,3,0,1,i cool faggot chill tf cool nigga
375,380,3,0,3,0,1,i sure bitch frfr tf
376,381,3,0,3,0,1,twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet
377,382,3,0,3,0,1,got couple bitches saying know but i let money talk and i m like
378,383,3,0,3,0,1,grudges weirdos bitches
379,384,3,1,0,2,2,i told mariam cigarettes birthday you also called trash rn
380,385,3,0,0,3,2,brownies tonight kind
381,386,3,0,3,0,1,no text back i give fuck i text another bitch damn someone hurt lol
382,387,6,1,5,0,1,ummmmmm okay got hoes left right yah thang
383,388,3,0,3,0,1,using mx b find slope ass
384,389,3,0,0,3,2,fit lads nice gear scally lads n trainers would get
385,390,3,0,3,0,1,hell yeah bro fuck yeah sexy scally lad hot gear
386,391,3,0,3,0,1,helping mate i love scally play fuck yeah
387,392,3,0,2,1,1,lads lads fuck yeah i love scally lad action hot trainers
388,393,3,0,3,0,1,next year bitches gonna like gotta promise expose
389,394,3,0,3,0,1,so hot lick bitch fuck yeah eat trainer u dirty fucker
390,395,3,0,3,0,1,y think celebrity pussy different locals yeah meghan goods
391,396,6,0,2,4,2,i saw ajumma walk beginning saying wow trash i even listen lmaoo
392,397,3,0,3,0,1,need sox fuck yeah i love kinky scally lad w rank sox sneaks
393,398,3,1,2,0,1,i ever expose females like that childish bitch nigga shiiii
394,399,3,0,3,0,1,yasss trys new things bestfriend bitch love
395,400,3,1,0,2,2,dude remember wop video omg where did you find that
396,401,3,0,2,1,1,thick raw fuck damn man pussy getting workout
397,402,3,0,0,3,2,rawr my sexy french scally i love sexy scally woof woof
398,403,3,0,3,0,1,nothin life free some bitches need write ya panties
399,404,3,0,3,0,1,one bitches want burrito u catch potosino huh haha
400,405,3,1,2,0,1,niggas whole hoes cuz couldn said better
401,406,3,0,3,0,1,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitches
402,407,3,0,3,0,1,fade perpetually fresher that real ass bitch rite
403,408,3,0,3,0,1,annoying bitch i love judyann s so pretty
404,409,3,0,3,0,1,lmao bitch got huggies
405,411,3,0,3,0,1,hi bitch no bitch bye bitch
406,412,3,0,3,0,1,look like bitch
407,413,3,0,3,0,1,chase money hoes
408,414,3,0,3,0,1,stand i know i want ass nigga bitch
409,415,3,0,3,0,1,i way love hot sexy scally fucker
410,416,3,1,2,0,1,these newly gay bitches kno shit works
411,417,3,0,3,0,1,when bitch want real job become strippers lol lol
412,418,3,0,3,0,1,awww meat meat in his feelins ainn n feelings bitch
413,419,3,0,2,1,1,i want snake bites my industrial piercin a tattoo dem hoe accessories dea
414,420,3,0,0,3,2,baby albino
415,421,3,0,3,0,1,hoes loyal
416,422,3,1,2,0,1,yassssss ordered chinese bitch ate tacos fat fuck
417,423,3,0,3,0,1,i made bitch lunch bitches love lunch
418,424,6,2,4,0,1,a no brainer but soon bitch gets rich political power views change political whores
419,425,3,0,3,0,1,a pussy day keeps devil away
420,426,3,0,3,0,1,ain bitch what mean
421,427,3,0,3,0,1,all bitches want baby i want children
422,428,3,0,2,1,1,and bitch must lost
423,429,3,0,3,0,1,baby i like left side bitch cuz street side twitter said i real
424,430,6,0,1,5,2,bae sounds like ghetto word use something else
425,431,3,1,2,0,1,batter wee cunt jewis cos fucked ex emma isnt battering girls i nailed ive moved stop pussy n urself
426,432,3,0,3,0,1,bleed hoe alexa
427,433,3,0,3,0,1,boolin bando wit bitches
428,434,3,0,0,3,2,brownies brownie i love movie
429,435,3,0,3,0,1,but i need bad bitch hotter might realist shit partynextdoor ever said that i feelin everyday
430,436,3,1,2,0,1,by way punch bitches
431,437,3,0,3,0,1,caesar home theres much bitch looks like lets start ape shit
432,438,3,0,1,2,2,chinese maverick we communicating comrade u know giving imperialist yanks birdie
433,439,3,0,3,0,1,dad say hi snapchat dad duces bitch
