,class,tweet
1136,1,system fail protect victims police
1155,1,would never guessed would disappointed city
1170,1,works uk white politician impoed thieves black investigate prosecute
1207,1,latest maryland daily thanks
1214,1,also type cause coopting terrorists reg syria autocorrects cause colored terrorists
1241,1,although hope still qualify mlk
1244,1,america owes
1247,1,white still worst president ever likely president ever
1251,1,decolonizing curriculum way process together
1274,1,profitable thing im
1317,1,unsatisfied moved nuclear terror
1336,1,yay except made comments suppoing say made homo
1346,1,new new new new new order new tweets new new kids
1366,1,andjivin want vote
1374,1,like definitely going like
1382,1,self loathing mean rest us weapon
1392,1,buffalo school districts boots trump ally racist comments
1393,1,dear wont buy yur retail sign pissedoffitalian
1400,1,pay
1409,1,ultimately early wish tell also wish well
1411,1,shot inside pussy office woman
1446,1,need different word altogether defines hatred whites men satisfy hateful ppl like
1456,1,ignored
1463,1,tyler perry claims critics tlc series
1479,1,smh cant take one sided standards
1485,1,get house order returning stolen land
1491,1,age information true ethnicity biblical people caused overlap
1504,1,coz vids dont mean woh wotching hilarious must
1525,1,vandalised condemns act
1541,1,muslims hate america
1542,1,felt lawrence fishburn added magical negro hollywood stereotypes made
1553,1,feds provide inadequate care internal memo
1564,1,keeps telling see every
1571,1,get world keeps spinning
1583,1,team show combat
1586,1,talking makes racism worst logic talking talking racism makes worst makes worst
1596,1,problem space alternative explanations
1602,1,paul beloy still issue varying levels belgian football
1633,1,target plain
1669,1,lying disingenuous excuses remarks michelle
1672,1,bullshit thrown muslim
1709,1,hope see show
1717,1,might libtard
1741,1,calls really means jealous
1742,1,wanna fucked id meet
1751,1,liberal believes pay inclusivity believes equality anywhere
1760,1,may b end problems like turning god
1768,1,abe government mere puppet ultra rightist group japan conference
1779,1,thought alt right secretly meant white nationalist
1783,1,hitler comparisons
1802,1,homegrown rightie white americans times likely harm refugee
1858,1,feel like stomping listen
1860,1,might libtard
1868,1,academia offers nuanced take
1892,1,malia shake ass fine pass blunt
1894,1,fail anti morality platform
1912,1,look problem first thing thing color black white pa problem
1934,1,names women fucking hard teen
1939,1,agree w much way win w
1942,1,chick gets fucked nude superhero
1945,1,sex free sex hotline numbers
1949,1,trump suppoers voicing thoughts women suffrage germany immigration policy
1997,1,riyadh renowned deadliest traffic world
2005,1,elects presidents
2014,1,needs fire dumb mfer hired promoting ass hire graduates
2023,1,people colour enjoy equality within community excluded marginalised group
2044,1,seriously lede come better
2087,1,hate crimes watch never seen much hate poor like
2088,1,people spit face meditations
2097,1,argentine women protest facebook sexist censorship rules eg
2110,1,heck mean please silence racism
2118,1,west vs popular sequel capitalism vs communism
2126,1,show tits idiot
2130,1,disgusting
2155,1,might libtard
2157,1,harbaugh time stupid questions bikinis thank time
2166,1,techjunkiejh daily unpacks
2175,1,sea shepherd suppoers racist
2197,1,proves small dicks make small minds
2236,1,travelled game sad disappointed fans sad cheer team
2255,1,one mil rejected fly flag half mast jan
2258,1,wish happy new year like
2293,1,yes disgusting hateful
2365,1,check post confession
2391,1,stocking sex sites chick gets fucked
2467,1,fox news anchor tells thigh high rather politics
2475,1,non racist white minority serve military power
2522,1,like stomping listen
2537,1,much much let hope get less
2567,1,chick gets fucked videos big asses havin sex
2580,1,sea shepherd suppoers racist
2606,1,problems solved talking instead
2608,1,even afraid groups threaten public safety propey
2629,1,revolution marx expected
2635,1,dictionary word anti black
2638,1,cud wud
2644,1,donkey proud murdering real palestinian semitic children thats call
2653,1,posted flag logo called forced bake cake dancers elitist asses
2657,1,help person comments like obama line like duh mf knew voting
2683,1,trophy always one educate
2695,1,tale
2701,1,arrive salut sharp suit
2715,1,leads violence
2721,1,viewed women explained b
2750,1,happened far often
2784,1,happy newyear
2796,1,education public servants critical pa path forward true
2799,1,person would tweet calling names telling truth
2819,1,suppo hrc funded saudi woman degrading pigs suppo women driving covering face
2829,1,holidays better ever marijuana unleashed ibooks
2839,1,might libtard
2844,1,multiple types racism america
2850,1,disgusting racist thugs look forward going back jail
2898,1,correct way written matter profession clearly still thing
2904,1,girl get fuck leg fucking
2913,1,folx numbers lie mostly
2923,1,uses insecurity lure men
2926,1,team show combat
2929,1,pay alway pay black inferior whites whites inferior everybody
2963,1,far swinging right
2968,1,whores ring fire
2993,1,oppose
2997,1,sea shepherd suppoers racist
3001,1,dear lies never unite leavers shit christmas lady
3017,1,â self defense women course
3019,1,principal resigned politicians corrupt means judges
3057,1,destructive socialists
3059,1,beware snowball effect blackman pa
3080,1,might libtard
3083,1,police appeal following alleged assaults
3100,1,holidays violent time begun question impoance families
3119,1,check mentioned org back april founder girl nyc happy new
3121,1,saying racist enough protest denounce
3123,1,check flyer yay titties question bring pussy grab pussy
3134,1,might libtard
3138,1,might libtard
3141,1,dealing relatives reminding clock ticking might help
3146,1,need change profiling get service poor
3167,1,douchebag like dad
3169,1,work idea creating substantive argument making point rather calling names
3210,1,happy another year passed
3249,1,ultimately early wish tell also wish well
3257,1,sad much hatred towards jews eu xians remember xians kenya
3288,1,ignored
3296,1,lessons learned hate shoot messenger press
3301,1,trump history erased money
3303,1,hours walking woman
3307,1,makes comments
3324,1,market crashed march greenspan cut interest rates even
3337,1,new video shows guy staed abuse humiliated muslim
3339,1,launching january stay tuned dates
3346,1,find burka offensive implication men control sight
3348,1,typical could anymore look hate feed say
3354,1,one mil rejected fly flag half mast jan
3356,1,check post confession
3372,1,outrageous vote un voting businesses
3397,1,shut rat
3399,1,seen many conservative memes last years
3408,1,aware facebook legislature
3415,1,exemplifies draining thieves
3417,1,might libtard
3428,1,late daddy teacher eu easteuropeans
3456,1,comments reflections ignorance
3467,1,episode guns everyone
3473,1,talking obama stay topic
3474,1,sea shepherd suppoers racist
3478,1,suppoing another deadly ideology bout suppoing
3491,1,prison officers goaded inmates needed restrained pa game
3506,1,speaking cc
3542,1,word even vocabulary know means
3572,1,icymi complete washout anti racism
3577,1,everything next years
3602,1,women nude anal anal girls
3621,1,porn blue tube office woman
3633,1,comments reflections total ignorance absolute
3640,1,lady said juniors area ask leave someone complained boss defended
3656,1,itz malign black woman abt raising son instead arresting white man choked
3663,1,fo woh texas police chief officer acted rude racist viral video
3669,1,fear mongers become loudest voices knows could happen
3680,1,new one either way disgraced
3687,1,police check cashing industry atlanta profiling black men
3699,1,defending woman condescension although saw tweet belongs kitchen
3714,1,stop chelski fans
3717,1,jeff sessions omits decades records ag confirmation hearing hide
3775,1,buffalo parents rally remove trump ally carl paladino school board
3777,1,school board demanding remarks made
3781,1,hey going done teacher making statements
3787,1,many years criticism effects society shut
3806,1,wants obama catch mad cow disease caught w herford dies trial buried cow pasture
3864,1,trumps wall coal fired electrical producers need dispose fly ash stockpiles
3876,1,send inauguration join today
3880,1,gets women encounter
3882,1,say love even
3920,1,obstruction goes way back discovered black
3932,1,offical officially eyes masses
3936,1,latest science u use daily thanks
3943,1,diisgusted perks offered passengers race male crew members flt vs others arnt
3988,1,abt
4033,1,happy new year
4054,1,nicola sturgeon sends christmas message surrounded white children brown kids nationalist nicola
4055,1,india entitlement socialized innate sick revoltingly entitled tws
4093,1,anyone claiming ran platform immediately becomes loses
4099,1,multiple types racism america
4107,1,may good intentions saying see color missing point
4108,1,waste time sdob plaster color profile blm bacon lettuce maters matter slices bread
4129,1,latest african american turmoil thanks
4139,1,alt right promote new kind racist genetics
4140,1,word factory race denial prevents healing
4166,1,feel like stomping listen
4167,1,chaplin dictator speech
4177,1,vandalised condemns act
4186,1,excellent idea dig deep hang em high
4204,1,clear good reason hand keys goon yet
4211,1,looks like damned fool years usa openly opposed settlement buliding
4230,1,thank mr president obama light revealed darkness people usa stronger
4240,1,enough say
4259,1,rapacious hunger oil also sealed doom
4262,1,says
4303,1,gives white nationalist troll platform spread hate reading buying
4305,1,black lives matter except mine apparently patience watch way
4307,1,stupidity alcoholic hags stuff legend
4313,1,protesting trump fuhered
4364,1,make fakequity great er
4374,1,definition subtle count use english dictionary definition otherwise risk slander
4412,1,piece shit emails r nothing compared u apologize spew
4435,1,hell juan decide kellyann raise kids work years
4477,1,hooked healand validating
4512,1,video men womenmalayalam girl dreads porn video
4525,1,wanna talk read brief honesty editor
4558,1,dear politicians media jind insident matter safety women india
4574,1,day government states county etc smoking ceain words schools
4584,1,never equate culture exclusive geographic boundaries
4594,1,leader reveals horrifying hopes america
4605,1,win dignity chauvinist pig
4611,1,new york bistro faces shocking accusations hosts hid minorities cramped tables
4612,1,people would died scurvy first winter first nations shown cute
4616,1,chaplin dictator speech
4632,1,first officially codified century
4645,1,look mean know saying cmon ps
4666,1,cussed called racist fb work attire thread yep comment dreads wouldnt safe ceain jobs
4675,1,lasses
4698,1,good job reducing talented performer physical assets douchewaffle
4700,1,precisely deplorables arms
4708,1,need speak rife within community
4712,1,nothing would dangerous give impression accept
4717,1,video close fiends dad died
4752,1,hard believe live world pa hillary thread trending tony hawk
4795,1,fuck drink arabian spiced coffee eat berberian spiced food
4796,1,thread fully bomb racism effective weapon white supremacy test
4819,1,allies r unstoppable
4831,1,great aicle truth needs comments back needed
4855,1,black professor makes assumptions entire race whilst speaking entire race next week jews
4877,1,one mil rejected fly flag half mast jan
4879,1,researchers effective way fight requires white people calling white
4914,1,error pa agree exceptional performer thrown something
4935,1,decided become beginning feminists reading plz help find educational materials
4952,1,year white liberals realized unjust sexist america
4954,1,target little children mispronouncing terraced house treat like criminals
4982,1,wen south choose dark south heroines kajal tamanna amy wtf
5005,1,turn resignation
5013,1,helps helps hus everyone everywhere
5019,1,bout spend new year eve playing game lol
5037,1,family horrible attack thyini thiza want
5047,1,working trump good thing
5053,1,go ahead change profile pic hepburn ambassador unicef ignorance would
5067,1,
5079,1,white boys yea calling boy like us like etc annoy
5086,1,workplace family responsibilities add pressure face unequal pay lack suppo
5088,1,stop perpetuating false racism leftist subversive politically correct propaganda america racist
5091,1,trump lackey carl palladino th get mating betwn pig hyena iq slug apologies pigs
5102,1,think w share guarani aquifer water w humiliated little brother
5105,1,says ashamed things done continues make shameful remarks women
5116,1,peruvian women nds adult game
5124,1,comments reflections ignorance
5128,1,think worst everything hatred towards country much
5151,1,keep mind totally whites dumb
5164,1,greek girls ana sex black girl porn
5169,1,originally meant white landholding males
5171,1,would reaction
5197,1,beyond upsetting one biggest fans
5200,1,ik right racist makes meme swear proof happened
5240,1,reginald mcfadden face face interviews commutations would
5246,1,kevin macdonald ethnocentrism normal rational
5259,1,reading next american
5314,1,j c penney employee holds customer headlock wow havent responded
5331,1,peace better unless loudly fight
5342,1,ally made remarks towards obamas dec et
5356,1,even know anymore
5386,1,balls expose racist
5392,1,typical lying thats slander grp dont kill
5424,1,paul beloy still issue varying levels belgian football
5431,1,official hate breeds hate
5436,1,whole stupid realise young progressive country
5439,1,tragic white americans prompts many vote candidates slash
5443,1,society overcome possible end racism happens one person time
5445,1,atlanta mayor police force allow rule city block roads freeways w action
5449,1,might libtard
5492,1,conflate islamic extremism terrorism
5494,1,latest knitting clio daily thanks
5500,1,lehman brothers went belly september
5510,1,trump campaign official wants michelle obama live african apes
5527,1,open hvg years one rapist still chief complaint
5567,1,u hole
5582,1,despise hatred racism causes many black people
5593,1,feel like stomping listen
5621,1,suspected henrico vandal mother son racist
5637,1,mean cruel hosts like make impossible person color like feel american
5642,1,wait see u admin hang
5644,1,problem
5669,1,everyday life white south african
5682,1,work attorneys white officer shot remove black judge presiding trial
5685,1,odd nye tweet odd man self serving
5699,1,thought factory bbc neutrality right wing fascism gt
5736,1,deep clintons r eating brown bread drinkdark
5784,1,feel like stomping listen
5816,1,evolution got serious public relations problem even among well educated need de stigmatize
5823,1,freaking nasty rotten people monsters release going pay let free
5830,1,feel like stomping listen
5843,1,ur employees r going say merry christmas white people please teach say brown people
5845,1,might libtard
5850,1,team show combat
5851,1,also correct enemies ally rid join together common
5854,1,white establishment blk folx running around loving promoting greatness
5888,1,indianapolis colts black cheerleader hugs boy used slur much class
5903,1,sea shepherd suppoers racist
5916,1,empire growing many people employed whoever pays bills
5919,1,might libtard
5927,1,emojis inexistence reverse
5941,1,woman needs arrested prosecuted encouraging rape another race
5950,1,man comes last race declared winner
5954,1,french try indians
5958,1,holiday fun socially relevant celebrates bewitched xmas ep
5966,1,
5971,1,idiot makes blood boil
5977,1,please stop
6006,1,forbidden write blacks restaurant bill ok wear shi saying kill whites
6015,1,movie mad indians challenged rewrite sexist bollywood songs
6021,1,mother arrest
6043,1,truly stand equality none acceptable
6045,1,countdown till assholes gone obama moron creepy uncle joe bye bye scum
6048,1,da blm
6058,1,like know buy pot local drug store marijuana unleashed ibooks
6064,1,man sees wearing manchester united hoodie fan yes man sure even know one player
6067,1,liberal believes pay inclusivity believes equality anywhere
6074,1,never content sit back watch others rights trampled upon rights could next
6102,1,alt right promote new kind genetics mt
6103,1,protesting trump fuhered
6110,1,cold war also fought oil
6164,1,okay
6167,1,sea shepherd suppoers racist
6169,1,look repug gop pay
6180,1,women facility program cool empowering men facility program gay misogynistic
6193,1,damn bold
6207,1,next klan meeting wife white proud love others gift
6217,1,cleveland police union overwhelmingly endorses trump president cops lt lt
6224,1,sums voted syndrome sovereignty democracy
6240,1,
6246,1,carl paladino ally wishes obama dead mad cow disease
6261,1,vandalised condemns act
6305,1,tell jeffery beauregard quit foolin around come pick hood sheets
6323,1,wahhhh white ppl arent allowed fuck rich care
6332,1,please forget use word binds men never ignore excuse
6336,1,makes sick ovr yrs idolized george bailey choose learned
6353,1,let skate true record
6379,1,thought factory left right polarisation
6389,1,waiter asks wants eat plate aswell
6392,1,denial
6402,1,atk porn pics representations women men alcohol ads
6447,1,officers fired target practice jokes
6486,1,vote animal america fat chicks
6500,1,check flyer yay titties question bring pussy grab pussy
6518,1,use phrases like acceptable ya hm u
6537,1,know gb less racist wog say nut
6574,1,team show combat
6591,1,fantastic video hate men
6599,1,makes please let know
6613,1,shot racism
6620,1,community
6634,1,projection
6639,1,alive well never let tell
6648,1,lady bc voice opinion scared speak mind wait
6661,1,feel like stomping listen
6672,1,years mostly even leave die
6675,1,ends hopeful message music industry
6713,1,book wtf reich
6723,1,work seeing naming dismantling others systems
6727,1,two bots one girl
6741,1,scatter may bless keep shine upon gracious look kindly toward one another let us
6756,1,community look
6794,1,liberal believes pay inclusivity believes equality anywhere
6797,1,year old man still young enough teach sexism say women
6803,1,whining women much harder men cause
6808,1,carl palladino unfit buffalo school board
6810,1,council staff instructed anc go slow make da look bad exposed weeks ago
6820,1,emma stone hollywood given jokes away male co stars
6826,1,comments reflections ignorance
6836,1,clearly humour attempt media undermine work trump
6859,1,less seems end evil hole wins george bailey
6882,1,nick cannon speaks systemic
6908,1,ever peotus willing complain abt defeated opponent pay well election
6951,1,factophobia ale people use following words
6993,1,caroline baiting gt lt hating wife
6996,1,congrats tucker came exactly
6998,1,opposed let know agenda
7003,1,ever met would drop pos right stood nothing
7021,1,jews plan work god without god matthew call
7043,1,one one line said anything silence complicity racism speak
7062,1,believe show blazing saddles tv lead actor black man
7063,1,mexican language dude obvious back trump said loves uneducated
7085,1,happy new year white people elected president treats women like crap biher disrespectful kkk suppoed white devil
7109,1,
7113,1,believe keep like spokesperson loser company
7131,1,white fragility hard talk white people
7145,1,deafening silence anti racist activists regarding porn hard comprehend
7156,1,tonight proudly presented goverment police media big staging going
7167,1,deaths blamed victims culture council paying maybe
7172,1,evil jew jew controlled media never never cite non white
7177,1,like religions islam strong unifying force
7187,1,
7194,1,ouuh fuck
7215,1,might libtard
7227,1,combat violent extremism white nationalist came dinner
7243,1,pathetic fallacy infantile case anyone wondered whether brain
7261,1,hated women america today get facts straight
7267,1,refer everyone else racist simple projecting intolerance
7276,1,white people got nothing nigga one sick horrible person sadly
7281,1,dear asshole please go fuck
7283,1,propaganda time videos properly stab jew
7304,1,body cam reveals black students threatening white frat boys
7325,1,vps got multi million dollar bonuses average americans lost homes
7379,1,germans even fascists rape help
7383,1,year
7401,1,might libtard
7415,1,muslims toured officials
7420,1,gonna suck one wants anything shitfest
7428,1,pastor maimane respond zille boss literally made kiss job goodbye
7441,1,asking oh course black people racist belief superior definition
7442,1,win douchelord year good work
7449,1,stones humans different gravity difference
7457,1,racial profiling cologne disgusting
7458,1,lock gate
7464,1,engagement white calls nig
7495,1,black lives matter also closely affiliated suppoed workers world pay communist
7511,1,fuck full
7537,1,jews gt
7556,1,beat bp might make cou alive serve life somehow vs
7579,1,really lovely company petous well done
7583,1,feel hated potus ever
7592,1,twitter full vile man give juice
7631,1,critics threaten boycotts simon schuster milo yiannopoulos book deal huffington post
7638,1,president held private screening w griffith bih nation
7640,1,like religions islam strong unifying force
7663,1,swiftly sharpens fang eevalancaster
7668,1,note call opposing latest ad damn right get filth net race traitors
7696,1,nigger white kid growing
7722,1,yoyas market deming nm sell beer white said closed hispanic walked n sold
7725,1,feel like stomping listen
7735,1,latest liveleap bonus daily thanks
7737,1,might libtard
7760,1,might libtard
7768,1,scars left us waime camps mt
7785,1,live swiftly sharpens fang tale
7800,1,book enduring conviction fred korematsu quest
7813,1,come fraud documented lost base calling
7824,1,might libtard
7826,1,happy get incessant thin veiled gay minorities
7827,1,graduated friends wanted forget rector
7839,1,like lol wtf let get white house shame
7846,1,aptly named whitesboro ny ndn killing town seal whiteland mascot
7989,1,offical officially eyes masses
7996,1,striker league wouldnt disallowd
8001,1,video men women malayalees xxx picturebangladeshi
8004,1,americans hate
8031,1,asians need higher test scores harder get college answer yes
8046,1,ebonics pa huge con job blacks liberals running america decades actually lack
8062,1,rapacious hunger oil also sealed doom
8070,1,anyone thinks asian fetishes harmless needs read
8073,1,seriously lede come better
8074,1,truth
8075,1,effo logic point w especially
8091,1,story played role life
8105,1,hello sweetie glad see
8115,1,feel like listen
8124,1,racism w races classifying humans races biggest mistake history science
8137,1,one thing agree evan
8169,1,
8170,1,completely justified call comment apologize
8171,1,racist old woman america oldwoman
8183,1,ignored
8206,1,racism manmade tool say different really
8226,1,vandalised condemns act
8233,1,kinda digged white chick tho thought gonna win guess
8241,1,uk fell pop star job
8247,1,student bar stood next white man said pakis
8259,1,anc never prosecute type offences white people listen zuma malema know
8277,1,bullshit thrown muslim
8289,1,obama joins jackals ass america miss obama realize trump nothing
8290,1,haha get
8352,1,tears
8374,1,far blog comments claim senad lulic statement racist join debate
8399,1,muslims ones displaced uncle sam
8401,1,next attack wont japan guaranteed
8416,1,none
8426,1,cannot address issues fair trade fresh much violence better npr
8438,1,delete account shallow go away
8451,1,comes douchebag poke nose sme
8466,1,noticed definitions trying changed people hv
8505,1,classic yet jewish bastards wonder sooo hated world
8515,1,dying light village green
8527,1,one leaving eah piece shit
8530,1,directly applicable trump
8533,1,left know anything right including insulting
8541,1,huh wonder could well documented
8552,1,campaign co chair unleashes wish list mic
8568,1,odds dying extremist violence roughly one
8598,1,chief gangs
8604,1,
8626,1,expressions ie pa marginalized groups live w fear
8639,1,university wisconsin madison cancel racially biased problem whiteness course
8682,1,
8735,1,vandalised condemns act
8747,1,publishing industry tell
8757,1,saying racist protest denounce
8768,1,latest daily thanks
8772,1,suck haters voters hate fear voters love know
8795,1,turns raging sexist genocide defender
8796,1,latest one daily thanks
8803,1,carl paladino trump ally wishes obama dead mad cow disease
8857,1,feel like stomping listen
8875,1,christmas eve christmas adam
8896,1,take painting asshole fucking chump
8897,1,guilty treason must naked raygun treason
8904,1,latest thanks
8905,1,reject news latest aicle
8913,1,seriously considering performance inauguration
8943,1,feel like stomping listen
8954,1,problem everyone believes caoonish rendition facts
8962,1,snowpeople movie white
8965,1,lauren duca says looks like smells like vanilla means white rocks tenacity
8974,1,pure today everybody looking arabic kettled female friends leave better pics media presented gov
8993,1,excellent rambling alt right
8994,1,projection
9020,1,might libtard
9073,1,feel like listen
9079,1,really telling
9081,1,nothing soul fled
9084,1,live c w compensatory call code
9103,1,fuck
9119,1,media distos threat islamic extremism
9120,1,familiar become difficult stereotype
9160,1,new one either way disgraced
9166,1,hey piece obama always ever
9179,1,vandalised condemns act
9183,1,intolerant post brexit britain history shows better
9186,1,awful slap face hey neighbor black bought house r
9209,1,hire graduates taught
9211,1,dare accurately poray china next say lapdog putin
9221,1,expes explain best way deal friends family
9239,1,historian whitewashing past
9246,1,body bodies generations sites fear repulsion violent desire hatred
9272,1,sickening impoant reading
9278,1,woman catcalled walking shuts harassers best way ever
9306,1,krakow beautiful go stay let us build uk east european
9324,1,tweeted sewage understand
9342,1,wise words often come black americans reaction
9344,1,go fuck richie like going anywhere
9356,1,idiocy feminism actually think microaggressions matter proof
9364,1,kevin understand done knew fucked
9373,1,st mark cathedral name racism anti semitism xenophobia sins komo news
9400,1,people spit face
9401,1,sea shepherd suppoers racist
9416,1,paladino racist comments spark calls
9462,1,might libtard
9476,1,ufc pay amanda nunes still champ whopped ronda rousey less payday mil
9481,1,correlation religion islam violence
9495,1,
9500,1,welcome touches new heights
9519,1,confessions former neo
9522,1,man st louis racist muthafucka
9533,1,reagan convinced ksa flood market drive oil prices historic lows
9558,1,balls coward
9562,1,enlightenment wasted wilfully blind
9566,1,boob naked assault
9595,1,black women demonic porn
9602,1,dear would please ask shameless
9608,1,policies largely blamed mogage crisis
9627,1,nigger white kid grew
9638,1,council staff instructed anc go slow make da look bad exposed weeks ago
9650,1,attempting sabotage country final days
9654,1,read understand berniebros chose sanders hillary
9670,1,nice urging president elect denounce
9673,1,would want child attend school
9685,1,sm didnt hear latent every single day
9688,1,feel like stomping listen
9708,1,trump brexit based misconceptions race nationality says renowned philosopher cbc radio
9753,1,police kill substantially larger number whites every year blacks
9755,1,rapacious hunger oil also sealed doom
9762,1,feel like stomping listen
9768,1,really gotten credit one
9785,1,ignored
9810,1,new video wanna see worst
9813,1,stunning response plan nominate member lead pay
9822,1,holiday fun socially relevant celebrates bewitched xmas ep
9872,1,ever
9873,1,job disadvantaged white privilege calmly educate white people
9875,1,pt bitch ass
9877,1,allows baiter work station acceptable
9882,1,great see quebec establishing provincial inquiry systemic towards indigenous ppls
9894,1,ally carl slammed wish list cockwomble
9959,1,fought sides argument yesterday
9967,1,news racism resource development political stories inuit watched
9976,1,might libtard
9994,1,feel like stomping
10006,1,champ gets beating got million sophisticated
10015,1,cold war fought oil
10021,1,oops melted another fragile snowflake heed
10026,1,someone find man
10037,1,girls world nude yong girl
10045,1,boycotting blatantly many know father please
10053,1,classy
10110,1,people like come terms like
10149,1,sea shepherd suppoers racist
10166,1,motherhood unscripted new post happy new year seriously
10187,1,gf used uber without forcing language preferences reading data making choices
10194,1,like comment goes two
10197,1,proved point hardly think teen vogue classifies fake news like opinion
10223,1,send inauguration join today
10228,1,female white would shut
10229,1,evidence impoance vote
10231,1,happy new year says pennyloafer neck usa
10249,1,total asssss worst mistake ever lord help us
10255,1,girl walks refuses let serve white guy whoa hey
10263,1,lives matter
10266,1,noticed definitions trying changed people hv
10273,1,ww feel culpable deeply entrenched systemic exists dismantle
10295,1,cept plays celtic woman celtic symbols accent etc bald character ppl assume man
10305,1,adveisments naked fucking whores
10306,1,add list karma
10318,1,might libtard
10319,1,scary long ago
10347,1,insane crazy racist white woman reaction paranormal insane free classifieds ads
10348,1,feel triggered statement strawberry blonde locks going safe space
10350,1,cuomo paladino racist ugly comments obamas embarrass new yorkers
10359,1,good night sweet day means purpose purpose fight
10428,1,fighting
10443,1,latest equality echo thanks
10462,1,feel stomping listen
10467,1,absolutely disgusting
10477,1,say said found extremists faiths
10491,1,time calls gets results
10498,1,worst customer service united states already repoed better business bureau
10516,1,monetary policies equated declining real wages workers
10519,1,neighbor arrested cop interested kid littering assault
10534,1,latest daily thanks
10568,1,techjunkiejh alt right site plans fake black person twitter campaign
10572,1,dear djt allowing use america freedoms destroy r freedoms
10596,1,bilal called adhan kaaba always existed hamza yusuf nice
10600,1,temptation blame everything scapegoat strong resist
10603,1,vandalised condemns act
10604,1,boys use drill really
10621,1,leave gweh longer debate
10624,1,cowboys racist convince fooh nigga got wins gon swap white boy shit
10627,1,shop long suppo brands
10639,1,black women free kerala girls sex photos
10645,1,whites immigration make america great
10650,1,popular post year brilliant take
10678,1,great country
10693,1,thought factory left right polarisation gt
10729,1,content
10731,1,humiliating great country ignorant tacky lying president
10734,1,thought factory left right polarisation
10735,1,ny campaign chair say sitting president united states first
10736,1,vine bush
10745,1,ignored
10755,1,barack gets real office
10762,1,likely us deploying bc interfering within stop killing
10768,1,feel like stomping listen
10785,1,plz sign
10797,1,lds church stands knew
10804,1,trying hard make handwritten indirect pretty tweet shit like shut
10833,1,silence approval always knew pigs
10849,1,ignored
10852,1,muslims hate america
10855,1,might libtard
10898,1,feel like stomping listen
10928,1,say good win oscar
10938,1,referring ignorantly shouts racist sheep sta bleating
10945,1,racist troll would love spread word
10967,1,megaupload porn link porn video
10991,1,yes u think brown skinned people think eh
11038,1,u u single race
11093,1,say muslims hate america suggest
11115,1,indianapolis colts black cheerleader hugs boy used slur much class
11118,1,easy
11142,1,ally carl paladino said first lady go live cave gorilla prick
11161,1,nazis continue target jews businesses
11172,1,ignorance egregious dare speak rest
11193,1,someone feed grenades stupid fuck shit
11213,1,might libtard
11220,1,vandalised condemns act
